file_name,.pred_fruit,.pred_flower,.logit_fruit,.logit_flower,.class_flower,.class_fruit,.equivocal_flower,.equivocal_fruit
127001970.jpg,0.67822265625,0.06488037109375,0.74560546875,-2.66796875,Not Detected,Detected,Unequivocal,Equivocal
127132336.jpg,0.07318115234375,0.72607421875,-2.5390625,0.974609375,Not Detected,Not Detected,Equivocal,Unequivocal
127159315.jpeg,0.22900390625,0.206298828125,-1.2138671875,-1.34765625,Not Detected,Not Detected,Unequivocal,Unequivocal
12747.jpg,0.007755279541015625,0.99853515625,-4.8515625,6.39453125,Detected,Not Detected,Unequivocal,Unequivocal
127692509.jpeg,0.0775146484375,0.9794921875,-2.4765625,3.85546875,Detected,Not Detected,Unequivocal,Unequivocal
127732491.jpeg,0.0546875,0.27490234375,-2.849609375,-0.97021484375,Not Detected,Not Detected,Unequivocal,Unequivocal
127732493.jpeg,0.1177978515625,0.99658203125,-2.013671875,5.66015625,Detected,Not Detected,Unequivocal,Unequivocal
127732501.jpeg,0.08660888671875,0.324462890625,-2.35546875,-0.73291015625,Not Detected,Not Detected,Equivocal,Unequivocal
128236911.jpg,0.3154296875,0.69091796875,-0.77490234375,0.8037109375,Not Detected,Not Detected,Equivocal,Equivocal
128525926.jpg,0.0102081298828125,0.03643798828125,-4.57421875,-3.275390625,Not Detected,Not Detected,Unequivocal,Unequivocal
128718969.jpeg,0.08447265625,0.33642578125,-2.3828125,-0.67919921875,Not Detected,Not Detected,Equivocal,Unequivocal
128720012.jpeg,0.32275390625,0.364501953125,-0.74072265625,-0.55615234375,Not Detected,Not Detected,Equivocal,Equivocal
12872058.jpg,0.0087432861328125,0.9873046875,-4.73046875,4.37109375,Detected,Not Detected,Unequivocal,Unequivocal
128721442.jpeg,0.3359375,0.312255859375,-0.68115234375,-0.78955078125,Not Detected,Not Detected,Equivocal,Equivocal
128726434.jpeg,0.73388671875,0.040985107421875,1.013671875,-3.15234375,Not Detected,Detected,Unequivocal,Equivocal
